Customer ID,Customer Name,Segment,Orders,Sales,Profit,Quantity,First_Order,Last_Order,Average_Order_Value,Profit_Margin,Customer_Type
AG-10300,Aleksandra Gannaway,Corporate,4,367.548,59.288399999999996,16,2014-04-26,2017-03-09,91.887,0.1613079108034869,Repeat Customer
AG-10330,Alex Grayson,Consumer,5,660.972,-5.137100000000006,47,2016-03-08,2017-12-22,132.1944,-0.00777203875504561,Repeat Customer
AG-10390,Allen Goldenen,Consumer,5,200.945,69.2784,33,2014-03-09,2017-07-09,40.189,0.3447629948493369,Repeat Customer
AG-10495,Andrew Gjertsen,Corporate,8,2356.855,295.6668,93,2015-04-01,2017-10-13,294.606875,0.12544972007187546,Repeat Customer
AG-10525,Andy Gerbode,Corporate,4,1455.038,-152.7613,33,2014-02-09,2015-07-09,363.7595,-0.10498784224192083,Repeat Customer
AG-10675,Anna Gayman,Consumer,7,3489.0396000000005,-246.42570000000003,54,2015-07-05,2017-09-24,498.43422857142866,-0.07062851909161479,Repeat Customer
AG-10765,Anthony Garverick,Home Office,4,170.584,-8.431000000000001,20,2014-09-17,2017-10-14,42.646,-0.049424330535102944,Repeat Customer
AG-10900,Arthur Gainer,Consumer,10,4510.797,343.6824,92,2014-07-23,2017-09-25,451.07969999999995,0.07619105891929963,Repeat Customer
AH-10030,Aaron Hawkins,Corporate,7,1744.7,365.2152,54,2014-04-22,2017-12-18,249.24285714285716,0.20932836590817905,Repeat Customer
AH-10075,Adam Hart,Corporate,10,3250.337,281.189,75,2014-11-16,2017-11-26,325.0337,0.08651072181130758,Repeat Customer
AH-10120,Adrian Hane,Home Office,7,1735.5140000000001,-2.3145999999999773,65,2014-07-18,2017-10-31,247.93057142857145,-0.0013336682965392253,Repeat Customer
AH-10195,Alan Haines,Corporate,4,1587.452,-378.5509,28,2015-05-03,2017-08-24,396.863,-0.23846447010681268,Repeat Customer
AH-10210,Alan Hwang,Consumer,9,4805.344,1308.5546,53,2014-11-29,2017-12-24,533.9271111111111,0.2723123672311493,Repeat Customer
AH-10465,Amy Hunt,Consumer,5,2495.3916,-196.12009999999998,35,2015-01-17,2017-05-14,499.07831999999996,-0.0785929150358605,Repeat Customer
AH-10585,Angele Hood,Consumer,4,738.504,83.96300000000001,17,2014-10-26,2017-09-12,184.626,0.11369335846522159,Repeat Customer
AH-10690,Anna Häberlin,Corporate,12,7888.294,1298.0166,102,2014-02-04,2016-11-15,657.3578333333334,0.1645497239327033,Repeat Customer
AI-10855,Arianne Irving,Consumer,10,4375.786,867.7271000000001,72,2014-04-28,2017-12-17,437.5786,0.19830199648703115,Repeat Customer
AJ-10780,Anthony Jacobs,Corporate,7,4867.344,150.71300000000005,62,2014-10-01,2017-10-16,695.3348571428571,0.030964115131373506,Repeat Customer
AJ-10795,Anthony Johnson,Corporate,7,4501.391,1158.7064,88,2014-05-14,2017-07-17,643.0558571428571,0.25741074259045704,Repeat Customer
AJ-10945,Ashley Jarboe,Consumer,7,1839.24,521.1351999999999,40,2014-03-03,2017-08-31,262.74857142857144,0.2833426850220743,Repeat Customer
AJ-10960,Astrea Jones,Consumer,3,629.2479999999999,60.4265,22,2014-09-14,2017-10-17,209.7493333333333,0.0960297052990236,Repeat Customer
AM-10360,Alice McCarthy,Corporate,5,814.012,194.9878,48,2014-06-10,2017-05-28,162.80239999999998,0.2395392205520312,Repeat Customer
AM-10705,Anne McFarland,Consumer,8,5664.022,1085.7326,81,2014-10-31,2017-07-21,708.00275,0.19168933312759026,Repeat Customer
AO-10810,Anthony O'Donnell,Corporate,1,161.28,12.096,2,2016-08-16,2016-08-16,161.28,0.075,One-Time Customer
AP-10720,Anne Pryor,Home Office,8,1638.554,285.7888,85,2014-03-03,2017-11-19,204.81925,0.17441524661378263,Repeat Customer
AP-10915,Arthur Prichep,Consumer,10,3323.556,579.3113,102,2014-08-23,2017-09-23,332.3556,0.1743046604299732,Repeat Customer
AR-10345,Alex Russell,Corporate,4,1055.694,-221.0544,18,2014-12-30,2017-10-09,263.9235,-0.20939249441599553,Repeat Customer
AR-10405,Allen Rosenblatt,Corporate,5,2236.128,-98.7646,29,2014-03-10,2017-08-27,447.22560000000004,-0.04416768628629488,Repeat Customer
AR-10510,Andrew Roberts,Consumer,5,264.86400000000003,43.6695,33,2014-02-05,2017-12-16,52.97280000000001,0.16487518122508152,Repeat Customer
AR-10540,Andy Reiter,Consumer,6,6608.448,2884.6208,33,2014-11-25,2017-12-24,1101.4080000000001,0.4365050311359036,Repeat Customer
AR-10570,Anemone Ratner,Consumer,1,88.15,32.633,6,2016-07-14,2016-07-14,88.15,0.3701985252410664,One-Time Customer
AR-10825,Anthony Rawles,Corporate,8,4523.336,494.83519999999993,54,2014-06-30,2017-07-21,565.417,0.10939607404800349,Repeat Customer
AS-10045,Aaron Smayling,Corporate,7,3050.692,-253.57459999999998,48,2014-07-27,2017-04-09,435.81314285714285,-0.08312035433272189,Repeat Customer
AS-10090,Adam Shillingsburg,Consumer,9,3255.31,64.53739999999998,81,2014-09-22,2017-09-16,361.7011111111111,0.019825270097164317,Repeat Customer
AS-10135,Adrian Shami,Home Office,2,58.82,21.8496,9,2016-11-13,2017-11-19,29.41,0.37146548792927575,Repeat Customer
AS-10225,Alan Schoenberger,Corporate,5,4260.784,719.7751000000001,41,2014-10-18,2017-09-17,852.1568,0.1689302015779256,Repeat Customer
AS-10240,Alan Shonely,Consumer,7,584.6080000000001,33.715799999999994,39,2014-03-15,2017-06-21,83.51542857142859,0.05767249165252612,Repeat Customer
AS-10285,Alejandro Savely,Corporate,6,3214.236,354.62760000000003,39,2016-04-11,2017-11-12,535.706,0.11033029310853343,Repeat Customer
AS-10630,Ann Steele,Home Office,7,833.398,136.49190000000002,34,2014-01-08,2017-09-29,119.05685714285714,0.16377757086050124,Repeat Customer
AT-10435,Alyssa Tate,Home Office,6,1171.814,100.87680000000002,28,2014-11-24,2017-09-12,195.30233333333334,0.08608601706414158,Repeat Customer
AT-10735,Annie Thurman,Consumer,10,3831.864,974.107,60,2014-03-11,2017-12-17,383.1864,0.25421231024900676,Repeat Customer
AW-10840,Anthony Witt,Consumer,4,649.376,65.77250000000001,24,2015-04-13,2017-10-12,162.344,0.10128569580643573,Repeat Customer
AW-10930,Arthur Wiediger,Home Office,7,2852.968,-104.5486,68,2014-07-14,2017-11-14,407.56685714285715,-0.036645556487139005,Repeat Customer
AY-10555,Andy Yotov,Corporate,4,497.014,103.3499,34,2014-06-04,2017-12-16,124.2535,0.2079416273988258,Repeat Customer
AZ-10750,Annie Zypern,Consumer,6,1622.0179999999998,154.9503,40,2014-03-17,2017-07-23,270.3363333333333,0.09552933444635017,Repeat Customer
BB-10990,Barry Blumstein,Corporate,5,744.3399999999999,11.583900000000007,26,2014-07-27,2017-09-16,148.868,0.015562646102587539,Repeat Customer
BB-11545,Brenda Bowman,Corporate,9,6765.728,1015.0749999999999,83,2015-05-06,2017-12-08,751.7475555555556,0.1500318960502107,Repeat Customer
BC-11125,Becky Castell,Home Office,9,2933.676,251.5974,60,2014-06-07,2017-11-06,325.964,0.08576182236893236,Repeat Customer
BD-11320,Bill Donatelli,Consumer,12,5718.521,1094.5037,75,2015-05-31,2017-12-04,476.54341666666664,0.19139628935523714,Repeat Customer
BD-11500,Bradley Drucker,Consumer,6,4411.2429999999995,1142.1225,49,2014-01-02,2017-11-25,735.2071666666666,0.25891171717359485,Repeat Customer
BD-11560,Brendan Dodson,Home Office,2,320.54,116.714,11,2015-05-30,2017-03-27,160.27,0.36411680289511444,Repeat Customer
BD-11605,Brian Dahlen,Consumer,7,3288.471,634.8463,74,2014-01-13,2017-09-24,469.78157142857145,0.19305212057518525,Repeat Customer
BD-11620,Brian DeCherney,Consumer,6,1538.11,206.75689999999997,27,2014-06-30,2017-10-22,256.35166666666663,0.13442270058708414,Repeat Customer
BD-11635,Brian Derr,Consumer,3,582.646,141.53400000000002,19,2014-05-10,2017-12-21,194.21533333333332,0.24291593866601682,Repeat Customer
BD-11725,Bruce Degenhardt,Consumer,6,1526.5,333.9791,29,2015-03-07,2017-09-28,254.41666666666666,0.21878748771699968,Repeat Customer
BD-11770,Bryan Davis,Consumer,6,658.466,141.265,21,2016-02-05,2017-06-02,109.74433333333333,0.21453651365446352,Repeat Customer
BE-11335,Bill Eplett,Home Office,5,4204.676,1487.7739000000001,35,2016-01-15,2017-07-17,840.9352000000001,0.3538379413776472,Repeat Customer
BE-11410,Bobby Elias,Consumer,5,2261.438,755.9150999999999,19,2016-07-02,2017-09-23,452.2876,0.3342630220240395,Repeat Customer
BE-11455,Brad Eason,Home Office,6,1727.652,139.20080000000002,40,2015-02-08,2017-04-20,287.942,0.08057224487338886,Repeat Customer
BF-10975,Barbara Fisher,Corporate,7,599.798,227.4384,38,2014-01-08,2017-09-30,85.68542857142857,0.3791916611926015,Repeat Customer
BF-11005,Barry Franz,Home Office,4,1333.88,-291.38109999999995,26,2014-09-25,2017-11-21,333.47,-0.2184462620325666,Repeat Customer
BF-11020,Barry Französisch,Corporate,8,2888.506,302.02,78,2014-02-15,2017-10-17,361.06325,0.10455924273655655,Repeat Customer
BF-11080,Bart Folk,Consumer,3,272.95,110.9272,29,2014-11-28,2017-12-09,90.98333333333333,0.406401172375893,Repeat Customer
BF-11170,Ben Ferrer,Home Office,11,5907.972,1538.2127,102,2014-04-13,2017-12-14,537.0883636363636,0.26036221904910856,Repeat Customer
BF-11215,Benjamin Farhat,Home Office,4,1585.162,523.2133,48,2014-09-11,2017-10-26,396.2905,0.3300692926022703,Repeat Customer
BF-11275,Beth Fritzler,Corporate,3,791.9899999999999,25.870199999999997,11,2014-03-22,2017-10-07,263.9966666666666,0.03266480637381785,Repeat Customer
BG-11035,Barry Gonzalez,Consumer,8,2798.948,-711.4274,35,2014-05-11,2017-08-31,349.8685,-0.254176712107549,Repeat Customer
BG-11695,Brooke Gillingham,Corporate,6,1874.172,107.5715,24,2014-11-05,2017-11-24,312.362,0.05739681309933133,Repeat Customer
BG-11740,Bruce Geld,Consumer,6,1006.356,119.34790000000001,22,2014-03-23,2017-04-17,167.726,0.11859411579997536,Repeat Customer
BH-11710,Brosina Hoffman,Consumer,8,6255.351,802.7898,97,2014-09-06,2017-07-12,781.918875,0.12833649142949774,Repeat Customer
BK-11260,Berenike Kampe,Consumer,6,659.1379999999999,-63.764399999999995,58,2014-03-08,2017-10-14,109.85633333333332,-0.09673907436682455,Repeat Customer
BM-11140,Becky Martin,Consumer,4,11789.63,-1659.9580999999998,64,2014-08-09,2017-02-26,2947.4075,-0.14079815057809278,Repeat Customer
BM-11575,Brendan Murry,Corporate,6,808.162,95.58160000000001,22,2015-09-15,2017-09-21,134.69366666666667,0.1182703467869066,Repeat Customer
BM-11650,Brian Moss,Corporate,11,7294.185,2199.2781,95,2014-09-07,2017-11-27,663.1077272727273,0.3015111489494714,Repeat Customer
BM-11785,Bryan Mills,Consumer,10,1338.842,137.7439,44,2014-02-09,2017-05-26,133.88420000000002,0.10288286444554323,Repeat Customer
BN-11470,Brad Norvell,Corporate,4,265.296,36.6131,15,2014-12-09,2017-06-12,66.324,0.13800848863156626,Repeat Customer
BN-11515,Bradley Nguyen,Consumer,5,1459.344,340.7054,79,2014-03-17,2017-12-21,291.8688,0.23346476224933943,Repeat Customer
BO-11350,Bill Overfelt,Corporate,5,2682.728,278.77700000000004,43,2016-03-01,2017-08-15,536.5456,0.1039154919917338,Repeat Customer
BO-11425,Bobby Odegard,Consumer,2,130.83,59.4522,7,2015-10-09,2017-10-16,65.415,0.4544232974088511,Repeat Customer
BP-11050,Barry Pond,Corporate,5,983.42,209.78300000000002,30,2014-12-10,2017-08-10,196.684,0.21331984299688844,Repeat Customer
BP-11095,Bart Pistole,Corporate,12,2442.044,433.9751,70,2014-07-06,2017-12-13,203.50366666666665,0.17770977918497785,Repeat Customer
BP-11155,Becky Pak,Consumer,6,1697.8609999999999,647.3847000000001,32,2015-04-06,2017-10-07,282.97683333333333,0.38129428734154336,Repeat Customer
BP-11185,Ben Peterman,Corporate,9,3675.861,363.5991,69,2015-03-24,2017-12-29,408.429,0.09891535615737375,Repeat Customer
BP-11230,Benjamin Patterson,Consumer,5,1181.49,-197.2695,14,2014-04-20,2017-11-21,236.298,-0.1669667115252774,Repeat Customer
BP-11290,Beth Paige,Consumer,7,2475.157,-319.0637,51,2014-03-10,2017-12-18,353.5938571428572,-0.12890644916665892,Repeat Customer
BS-11365,Bill Shonely,Corporate,5,10501.653,2616.0643999999998,39,2014-04-05,2016-06-20,2100.3306000000002,0.24910977348042254,Repeat Customer
BS-11380,Bill Stewart,Corporate,5,3887.834,-17.532200000000024,58,2014-11-29,2017-12-03,777.5668,-0.0045095032349632275,Repeat Customer
BS-11590,Brendan Sweed,Corporate,6,2454.928,381.7807,41,2014-01-14,2017-11-25,409.1546666666666,0.15551604772115518,Repeat Customer
BS-11665,Brian Stugart,Consumer,3,3288.1099999999997,238.73680000000002,47,2014-06-23,2016-05-27,1096.0366666666666,0.07260608677933525,Repeat Customer
BS-11755,Bruce Stewart,Consumer,7,2562.382,-113.29840000000003,45,2014-03-08,2017-12-29,366.0545714285714,-0.04421604585108701,Repeat Customer
BS-11800,Bryan Spruell,Home Office,2,949.4300000000001,194.0516,22,2015-09-26,2017-09-04,474.71500000000003,0.20438747459001716,Repeat Customer
BT-11305,Beth Thompson,Home Office,5,2567.656,417.5918,33,2014-04-25,2017-01-28,513.5312,0.16263541533601072,Repeat Customer
BT-11395,Bill Tyler,Corporate,6,2186.6130000000003,257.9163,38,2014-10-28,2017-03-03,364.43550000000005,0.11795242230792552,Repeat Customer
BT-11440,Bobby Trafton,Consumer,4,603.876,-77.5256,16,2014-04-06,2016-06-18,150.969,-0.12837999854274718,Repeat Customer
BT-11485,Brad Thomas,Home Office,2,415.19599999999997,126.8694,11,2015-12-27,2016-11-03,207.59799999999998,0.30556508251524583,Repeat Customer
BT-11530,Bradley Talbott,Home Office,5,2684.4919999999997,409.4983,44,2014-05-21,2017-09-30,536.8983999999999,0.15254219420285103,Repeat Customer
BT-11680,Brian Thompson,Consumer,7,3196.752,447.74839999999995,88,2014-11-28,2017-11-20,456.6788571428571,0.14006353949258496,Repeat Customer
BV-11245,Benjamin Venier,Corporate,5,1523.2730000000001,315.2214,49,2015-03-26,2017-01-30,304.6546,0.20693690494087402,Repeat Customer
BW-11065,Barry Weirich,Consumer,3,385.516,-58.28659999999999,8,2014-05-25,2017-01-06,128.50533333333334,-0.15119113084800628,Repeat Customer
BW-11110,Bart Watters,Corporate,8,4750.358,921.2574,74,2015-03-20,2017-08-31,593.79475,0.1939343097930724,Repeat Customer
BW-11200,Ben Wallace,Consumer,6,1738.406,246.9973,49,2014-09-30,2017-10-06,289.7343333333333,0.14208263202036808,Repeat Customer
CA-11965,Carol Adams,Corporate,6,3789.7228,1143.3817,29,2014-01-26,2017-09-25,631.6204666666666,0.30170589257873953,Repeat Customer
CA-12055,Cathy Armstrong,Home Office,5,1679.7240000000002,211.2559,49,2015-05-09,2016-11-24,335.94480000000004,0.1257682214459042,Repeat Customer
CA-12265,Christina Anderson,Consumer,9,2648.2872,279.6183,65,2014-03-25,2017-12-10,294.25413333333336,0.1055845831222535,Repeat Customer
CA-12310,Christine Abelman,Corporate,4,1421.954,246.02179999999998,25,2014-07-19,2017-12-17,355.4885,0.1730167079947734,Repeat Customer
CA-12775,Cynthia Arntzen,Consumer,7,3041.566,204.48950000000002,72,2014-06-28,2017-12-05,434.50942857142854,0.06723164974884649,Repeat Customer
CB-12025,Cassandra Brandow,Consumer,10,6076.139,150.2089,122,2014-03-21,2017-11-13,607.6139000000001,0.024721109902192822,Repeat Customer
CB-12415,Christy Brittain,Consumer,8,1949.2,272.3883,44,2015-05-11,2017-11-16,243.65,0.13974363841576032,Repeat Customer
CB-12535,Claudia Bergmann,Corporate,8,4246.4555,1049.5601,74,2015-02-01,2017-06-16,530.8069375,0.24716145029660616,Repeat Customer
CC-12100,Chad Cunningham,Home Office,6,1770.945,208.5912,46,2014-12-16,2016-09-29,295.15749999999997,0.11778525024774908,Repeat Customer
CC-12145,Charles Crestani,Consumer,7,2471.65,392.2825,31,2014-07-20,2017-09-15,353.09285714285716,0.15871280318815367,Repeat Customer
CC-12220,Chris Cortes,Consumer,12,3913.418,393.9618,81,2014-04-10,2017-11-16,326.1181666666667,0.10066949147778233,Repeat Customer
CC-12370,Christopher Conant,Consumer,5,12129.072000000002,2177.0493,34,2016-05-23,2017-11-17,2425.8144,0.1794901786385636,Repeat Customer
CC-12430,Chuck Clark,Home Office,10,2870.05,424.6583,63,2015-06-09,2017-12-30,287.005,0.14796198672496993,Repeat Customer
CC-12475,Cindy Chapman,Consumer,9,1659.438,154.851,40,2014-05-16,2017-11-21,184.382,0.09331532723729358,Repeat Customer
CC-12550,Clay Cheatham,Consumer,3,113.832,33.870599999999996,14,2017-01-12,2017-06-15,37.943999999999996,0.29754901960784313,Repeat Customer
CC-12610,Corey Catlett,Corporate,7,2540.631,331.434,39,2014-08-27,2017-11-26,362.94728571428567,0.1304534188553946,Repeat Customer
CC-12670,Craig Carreira,Consumer,7,2269.7015,187.8399,47,2014-12-23,2017-06-18,324.24307142857145,0.08275973734872184,Repeat Customer
CC-12685,Craig Carroll,Consumer,4,2854.1150000000002,850.1591,51,2014-03-22,2015-10-23,713.5287500000001,0.29787135416757904,Repeat Customer
CD-11920,Carlos Daly,Consumer,5,2033.968,426.661,35,2014-03-24,2017-11-20,406.7936,0.2097678036232625,Repeat Customer
CD-11980,Carol Darley,Consumer,3,639.766,-206.7172,22,2016-11-24,2017-06-11,213.2553333333333,-0.32311376346976867,Repeat Customer
CD-12280,Christina DeMoss,Consumer,2,1205.584,233.0274,39,2017-05-11,2017-11-18,602.792,0.19329005693506215,Repeat Customer
CD-12790,Cynthia Delaney,Home Office,5,1860.732,403.8422,49,2014-02-02,2016-11-26,372.14639999999997,0.21703404896567588,Repeat Customer
CG-12040,Catherine Glotzbach,Home Office,6,904.4680000000001,86.5106,37,2015-01-06,2017-11-11,150.7446666666667,0.09564804946111967,Repeat Customer
CG-12520,Claire Gute,Consumer,3,1148.7800000000002,169.93439999999998,14,2015-10-15,2017-01-26,382.92666666666673,0.14792597364160234,Repeat Customer
CH-12070,Cathy Hwang,Home Office,3,1537.236,195.15109999999999,13,2015-06-25,2016-08-02,512.412,0.12694934284651152,Repeat Customer
CJ-11875,Carl Jackson,Corporate,1,16.52,1.652,5,2016-12-30,2016-12-30,16.52,0.09999999999999999,One-Time Customer
CJ-12010,Caroline Jumper,Consumer,8,11164.974,858.7414,83,2016-03-12,2017-06-24,1395.62175,0.07691387369106278,Repeat Customer
CK-12205,Chloris Kastensmidt,Consumer,13,3154.855,141.2831,122,2014-06-16,2017-12-05,242.68115384615385,0.04478275546736696,Repeat Customer
CK-12325,Christine Kargatis,Home Office,5,2945.321,261.22090000000003,46,2014-02-06,2017-02-17,589.0642,0.08869012919135132,Repeat Customer
CK-12595,Clytie Kelty,Consumer,11,2372.75,497.70980000000003,108,2014-12-26,2017-11-17,215.70454545454547,0.20976074175534717,Repeat Customer
CK-12760,Cyma Kinney,Corporate,9,1582.109,-338.4311,64,2014-07-02,2017-09-10,175.78988888888887,-0.21391136767441435,Repeat Customer
CL-11890,Carl Ludwig,Consumer,4,1262.0140000000001,328.0847,24,2014-07-26,2017-10-06,315.50350000000003,0.25996914455782577,Repeat Customer
CL-12565,Clay Ludtke,Consumer,12,10880.546,1933.7830999999999,106,2014-02-09,2017-03-21,906.7121666666667,0.17772849818382275,Repeat Customer
CL-12700,Craig Leslie,Home Office,5,2353.586,229.00990000000002,34,2016-04-24,2017-09-16,470.71719999999993,0.0973025417384366,Repeat Customer
CM-11815,Candace McMahon,Corporate,6,1673.888,214.463,38,2014-11-14,2017-10-03,278.98133333333334,0.12812267009501233,Repeat Customer
CM-11935,Carlos Meador,Consumer,2,565.392,-43.732400000000005,18,2015-09-24,2016-01-22,282.696,-0.07734881285904294,Repeat Customer
CM-12115,Chad McGuire,Consumer,4,1661.6100000000001,409.0679,35,2015-03-29,2017-12-22,415.40250000000003,0.24618767340109893,Repeat Customer
CM-12160,Charles McCrossin,Consumer,6,2533.314,-394.3686,23,2016-10-21,2017-10-21,422.219,-0.15567300382029234,Repeat Customer
CM-12190,Charlotte Melton,Consumer,6,1475.144,91.2033,21,2015-09-11,2017-12-22,245.85733333333334,0.061826709799178925,Repeat Customer
CM-12235,Chris McAfee,Consumer,5,2305.712,365.0387,28,2016-01-05,2016-12-08,461.1424,0.15831929573164386,Repeat Customer
CM-12385,Christopher Martinez,Consumer,4,8954.019999999999,3899.8903999999998,34,2015-03-16,2017-11-23,2238.5049999999997,0.4355463132760481,Repeat Customer
CM-12445,Chuck Magee,Consumer,3,287.99,64.4296,32,2014-09-06,2016-10-20,95.99666666666667,0.2237216570019792,Repeat Customer
CM-12655,Corinna Mitchell,Home Office,6,6339.5576,1572.4585,42,2015-03-11,2017-03-12,1056.5929333333333,0.24803915339455232,Repeat Customer
CM-12715,Craig Molinari,Corporate,4,3984.4524,176.3108,57,2014-07-03,2015-01-03,996.1131,0.04424969413613775,Repeat Customer
CP-12085,Cathy Prescott,Corporate,8,5402.254,427.0258,57,2014-04-12,2017-09-10,675.28175,0.07904585752539588,Repeat Customer
CP-12340,Christine Phan,Corporate,8,5888.275,-1850.3029000000001,59,2014-03-17,2017-07-23,736.034375,-0.31423513677605075,Repeat Customer
CR-12580,Clay Rozendal,Home Office,4,2148.852,74.40129999999999,32,2016-04-18,2017-03-11,537.213,0.03462374328245966,Repeat Customer
CR-12625,Corey Roper,Home Office,3,475.9,144.7594,14,2014-01-06,2016-09-16,158.63333333333333,0.3041802899768859,Repeat Customer
CR-12730,Craig Reiter,Consumer,4,1600.55,306.9176,18,2014-08-20,2017-10-13,400.1375,0.19175758333073006,Repeat Customer
CR-12820,Cyra Reiten,Home Office,3,1397.8724,83.27029999999999,26,2015-01-24,2017-06-10,465.9574666666667,0.059569314051840495,Repeat Customer
CS-11845,Cari Sayre,Corporate,5,1278.954,185.3776,22,2014-12-14,2017-11-02,255.7908,0.14494469699457527,Repeat Customer
CS-11860,Cari Schnelling,Consumer,6,537.632,105.8275,16,2014-02-05,2017-12-07,89.60533333333332,0.19684003184334267,Repeat Customer
CS-11950,Carlos Soltero,Consumer,11,3036.547,-126.4223,68,2014-08-06,2017-10-24,276.0497272727273,-0.04163357260730692,Repeat Customer
CS-12130,Chad Sievert,Consumer,4,884.64,143.8339,28,2014-05-08,2016-08-28,221.16,0.1625903192258998,Repeat Customer
CS-12175,Charles Sheldon,Corporate,5,844.4580000000001,113.1405,30,2014-12-08,2017-12-05,168.8916,0.13398002032072642,Repeat Customer
CS-12250,Chris Selesnick,Corporate,12,2754.216,738.3626,97,2014-01-13,2017-11-23,229.518,0.2680844930099891,Repeat Customer
CS-12355,Christine Sundaresam,Consumer,11,3202.1620000000003,831.9432,74,2014-08-15,2017-12-24,291.1056363636364,0.25980671808609307,Repeat Customer
CS-12400,Christopher Schild,Home Office,9,3651.8585000000003,-342.80330000000004,47,2014-09-26,2017-12-28,405.7620555555556,-0.09387091531613287,Repeat Customer
CS-12460,Chuck Sachs,Consumer,2,550.644,156.2593,13,2017-03-07,2017-03-12,275.322,0.2837755428189538,Repeat Customer
CS-12490,Cindy Schnelling,Corporate,4,1077.2285,-302.8761,33,2015-12-01,2016-12-08,269.307125,-0.2811623532054713,Repeat Customer
CS-12505,Cindy Stewart,Consumer,6,5690.054999999999,-6626.389499999999,40,2014-03-26,2017-02-11,948.3424999999999,-1.1645563179969263,Repeat Customer
CT-11995,Carol Triggs,Consumer,8,3241.898,161.22629999999995,60,2014-07-05,2017-09-25,405.23725,0.04973207053398964,Repeat Customer
CV-12295,Christina VanderZanden,Consumer,5,2830.6279999999997,493.0861,54,2014-02-09,2017-04-20,566.1256,0.17419671535786407,Repeat Customer
CV-12805,Cynthia Voltz,Corporate,9,2370.3136,98.99749999999999,62,2016-01-09,2017-12-25,263.36817777777776,0.041765570597915816,Repeat Customer
CW-11905,Carl Weiss,Home Office,6,1136.592,370.8298,40,2014-09-06,2017-08-12,189.43200000000002,0.32626465785435754,Repeat Customer
CY-12745,Craig Yedwab,Corporate,8,2900.026,60.64670000000001,43,2014-12-12,2017-10-31,362.50325,0.02091246768132424,Repeat Customer
Co-12640,Corey-Lock,Consumer,5,1300.076,205.62820000000002,30,2014-06-20,2016-06-29,260.0152,0.1581662918167861,Repeat Customer
DA-13450,Dianna Arnett,Home Office,4,156.76,56.7904,27,2014-04-25,2017-12-01,39.19,0.3622760908394999,Repeat Customer
DB-12910,Daniel Byrd,Home Office,8,2171.599,431.3748,47,2014-10-24,2017-11-09,271.449875,0.1986438564394255,Repeat Customer
DB-12970,Darren Budd,Corporate,5,2839.2272,213.00289999999998,43,2014-12-11,2017-03-05,567.8454399999999,0.07502143541031164,Repeat Customer
